ISBN,name,writer,pagenum,price,date,tags
9787559609519,蓝色小药丸,[瑞士]弗雷德里克·佩特斯,208,45.00元,2017-11,爱情;HIV;艾滋病;漫画;小说;后浪漫;科普;弗雷德里克·佩特斯
9787550295353,战俘营回忆录：归来,[法]塔蒂/Tardi,140,118.00元,2017-5,漫画;二战;战争;后浪漫;法国;欧美漫画;欧美;后浪
9787213083426,创造自然,[德]安德烈娅·武尔夫,480,88.00元,2017-10,自然;科普;自然文学;洪堡;博物;历史;博物学;传记
9787514218763,利维坦之书,[美]彼得·布雷瓦,168,110.00元,2017-11,漫画;利维坦;绘本&漫画;美国;后浪漫;后浪;小说;图像小说
9787535681850,我的妈妈去旅行了,[法]让·勒尼奥编/埃米尔·布拉沃绘,120,45.00元,2018-1,童年;绘本;绘本&漫画;图像小说;漫画;后浪;儿童文学;后浪漫
9787550295650,全民审判,[法]马克-安托万·马修,128,68.00元,2017-9,黑色幽默;漫画;法国漫画;法国;读书;上帝本人;欧美漫画;后浪
9787550287600,伊比库斯的预言,[法]帕斯卡尔·拉巴泰,536,128.00元,2016-12,漫画;法国;文学;人性;后浪;后浪漫;绘本/漫画;漫畫及图像小说
9787550290358,方向,[法]马克-安托万·马修,232,99.80元,2017-4,漫画;哲学;烧脑;法国;外国文学;读书;绘本;闲时翻阅
9787210096177,当自然赋予科技灵感,[法]玛特·富尼耶,160,128.00元,2017-10,科普;自然科学;自然科学相关;自然;仿生;科技史;设计;后浪
9787514219098,星际特工4,[法]克里斯坦编/梅齐埃绘,216,128.00,2017-12,科幻;漫画;后浪;星际特工;已买;图像小说;后浪漫;法国
9787559605924,这里,[美]理查德·麦奎尔,312,138.00元,2017-10,漫画;绘本;漫画/绘本;图像小说;小说;欧美漫画;后浪漫;美国
9787550295483,海狼,[法]里夫·雷布斯编绘,136,78.00元,2017-3,漫画;海狼;小说;欧美漫画;后浪漫;插畫．繪本．圖文書;法国;信仰
9787559602626,遗产,[以]露图·莫丹,224,68.00元,2017-8,漫画;以色列;绘本;外国文学;图像小说;欧美漫画;遗产;后浪
9787550293243,梭罗：再见瓦尔登湖,[法]勒罗伊(编)/[法]达恩(绘),88,68.00元,2017-3,漫画;梭罗;法国;后浪漫;欧美漫画;人物传记;自由;后浪
9787550281202,拉戈·云奇1：继承者&W集团,[比利时]让·范阿姆编/菲利普·弗朗克绘,104,49.80元,2016-9,漫画;后浪漫;后浪;法国;法国漫画;商战;2016;漫畫及图像小说
9787550290525,超人：钢铁之躯的15个故事,[美]杰里·西格尔(JerrySiegel)等编/乔·舒斯特(JoeShuster)等绘,320,149.80元,2017-1,漫画;DC;美漫;超人;后浪;超级英雄;欧美漫画;后浪漫
9787535681546,漫画神话：奥德赛,[法]贝亚特丽斯·博泰编/埃米莉·阿雷尔绘,96,80.00元,2017-12,希腊神话;后浪漫;图像小说;后浪;荷马史诗;神话;漫画;奥赛德
9787514218749,七海游侠：摩羯座下,[意]雨果·普拉特/HugoPratt,136,110.00元,2017-11,漫画;后浪漫;七海游侠;后浪;欧美漫画;图像小说;雨果·普拉特;漫畫及图像小说
9787550277441,南京,[美]黄艺峰（EthanYoung）编绘,216,68.00元,2016-8,漫画;历史;后浪漫;二战;中国;后浪;抗日战争;南京
9787550291119,星际迷航：蓄势待发,[美]罗伯托·奥奇艾里克斯·库兹曼著/[美]迈克·约翰逊蒂姆·琼斯编/[意]戴维·梅西纳绘,104,68.00元,2016-12,漫画;星际迷航;美漫;后浪;美国;后浪漫;IDW;读书
9787550277427,战俘营回忆录：1680天,[法]雅克·塔蒂/Tardi,188,128.00元,2016-7,二战;漫画;历史;战争;法国;后浪;回忆录;后浪漫
9787550284937,我是怕怕,[加拿大]埃莉斯•格拉韦尔/EliseGravel,30,32.00元,2016-10,童书;绘本;浪花朵朵;成长;可爱的小怪物;儿童文学;纸板书;梨猫
9787550274495,猜猜还有什么：一只猫,[加拿大]罗杰·巴克（RogerParé）,22,29.80元,2016-6,绘本;童书;浪花朵朵;罗杰.巴克;礼物;猫;浪花朵朵童书;后浪
9787550296541,生火,[法]克里斯多夫·夏布特,64,52.00元,2017-3,漫画;法国;欧美漫画;后浪;杰克•伦敦;后浪漫;法国漫画;灯塔
9787550283282,千千万万只蚂蚁,[法]德尔菲娜•高达（DelphineGodard）著/[法]罗兰•卡瑞格（RolandGarrigue）绘,25,35.00元,2016-9,科普;童书;绘本;儿童;后浪;浪花朵朵;2.绘本;外国文学
9787550281196,七海游侠：盐海传奇,[意]雨果·普拉特(HugoPratt),168,128.00元,2017-1,漫画;后浪漫;七海游侠;欧洲漫画;后浪;欧美漫画;科多·马第斯;漫画绘本
9787535682444,被遗忘的勃艮第,[法]马努·吉约/埃尔韦·里谢/鲍里斯·吉约托,112,78.00元,2018-1,葡萄酒;漫画;图像小说;后浪漫;【可信/不可信】;后浪;@BD;***后浪***
9787550252707,淞沪会战,吕玻,128,36.00元,2015-9,漫画;战争;淞沪会战;后浪;历史;后浪漫;吕玻;中国
9787559602664,星际特工2,[法]克里斯坦编/梅齐埃绘,172,99.80元,2017-6,漫画;科幻;星际特工;法国;欧漫;后浪;后浪漫;读书
9787535682031,文森特与凡·高：星空中的月亮,[塞尔维亚]格拉迪米尔·斯穆贾编绘,48,68.00元,2017-12,梵高;艺术;绘本;漫画;后浪;***后浪***;图像小说;插畫．繪本．圖文書
9787550297760,不可思议的朋友,[日]田岛征彦,20,45.00元,2017-7,自闭症;绘本;儿童文学;日本文学;心理;日本;漫画;童书
9787544290678,南方高速,[阿根廷]胡利奥·科塔萨尔,440,68.00,2017-9,拉美文学;短篇小说;外国文学;科塔萨尔;小说;胡利奥·科塔萨尔;阿根廷;我想读这本书
9787559604170,寂寞的游戏,袁哲生,218,38.00元,2017-9,袁哲生;小说;文学;台湾文学;中国文学;台湾;短篇;港台文学
9787514219708,蓝莓上尉,[比]让-米歇尔·沙利耶(Jean-MichelCharlier)/[法]让·吉罗(JeanGiraud),104,60.00元,2018-3-1,漫画;法国;后浪漫;墨比斯;欧美漫画;【可信/不可信】;绮艺;比利时
9787550294837,疯狂艺术史：从达芬奇到伦勃朗,[塞尔维亚]格拉迪米尔·斯穆贾/伊万娜·斯穆贾,96,99.80元,2017-7,艺术史;艺术;疯狂艺术史;漫画;西方美术;艺术家;绘画;后浪漫
9787535680778,克里姆特,[英]凯瑟琳·迪恩,128,68.00元,2018-1,艺术;后浪;克里姆特;绘画;英国;文化研究;读书;绘本
9787550293397,星际特工1,[法]克里斯坦编剧/[法]梅齐埃绘画,160,88.00元,2017-3,漫画;科幻;法国;后浪;后浪漫;欧漫;我想读这本书;星际特工
9787541071133,神盾局1：完美子弹,[美]马克•韦德（著）/[西班牙]卡洛斯•帕切科等（绘）,144,50.00元,2016-11,漫画;Marvel;美漫;果壳;漫畫及图像小说;漫威Marvel;果壳阅读;已购
9787550277410,乌托邦,[法]尼古拉·巴斯科/NicolasBascop,112,68.00元,2016-7,插画;艺术;绘画;漫画;后浪;法国;科幻;涂色
9787534174735,全新X战警4：全然不同,[美]布莱恩•迈克尔•本迪斯（著）/[加]斯图尔特•伊莫宁等（绘）,132,50.00元,2017-2,Marvel;漫画;美漫;果壳;布莱恩·迈克尔·本迪斯;漫畫及图像小说;已购;Marvel（果壳）
9787550288157,动物的身体3：动物的嘴巴,[日]增井光子/日本自然编辑部,32,39.80,2016-11,增井光子;儿童科普;动物嘴巴;摄影绘本;动物之美;购买;科普;生命的故事
9787559612144,睡魔3：梦境国度,[英]尼尔·盖曼等编绘,160,86.00元,2018-1,美漫;漫画;尼尔·盖曼;后浪漫;睡魔;欧美漫画;后浪;DCU
9787550281233,BINGO！狗狗游戏,[英]波利·霍纳文/艾玛·阿瓜多绘,,198.00元,2016-9,聚会玩;绘本;童书;游戏科普;好玩;英国;美好百科;游戏
9787550275119,动物的身体2：动物的鼻子,[日]增井光子主编/日本自然编辑部编写,32,39.80元,2016-6,科普;浪花朵朵童书;后浪;动物;儿童;童书;很棒;看起来就很有意思的感觉
9787550257757,银翼夜枭01：暗夜女巫,[法]雅安（Yann）文/罗曼·于高特（RomainHugault）图,56,68.00元,2015-8,漫画;二战;法国;后浪;银翼夜枭;战争;飞行;飞机
9787222145764,幻境三日游,李昆武,248,45.00元,2016-6,漫画;李昆武;中国;后浪;后浪漫;绘本;漫画绘本;购于当当
9787550284944,摄影师,[法]埃曼努埃尔·吉贝尔(编绘)/[法]迪迪埃·勒费伍尔(摄/口述)/[法]弗雷德里克·勒梅西埃(绘),272,188.00元,2016-10,摄影;摄影师;摄影历史;漫画;历史;好书，值得一读;绘本;漫画&图像小说
9787535680914,克利,[英]道格拉斯·霍尔,128,68.00元,2018-1,艺术;后浪;克利;美国文学;绘画;道格拉斯·霍尔;读书;英国
9787544262835,被占的宅子,[阿根廷]胡利奥·科塔萨尔,370,49.5,2017-3-1,短篇小说;小说;胡里奥·科塔萨尔;拉美文学;外国文学;阿根廷文学;文学;科塔萨尔
9787559605375,智者星球,[法]朱勒编绘/夏尔·佩潘编,128,110.00元,2017-7,哲学;漫画;绘本;后浪漫;法国;后浪;哲学入门;智者星球
9787564929497,最接近生活的事物,[英]詹姆斯·伍德,102,28.00,2017-8-1,文学评论;文学;詹姆斯•伍德;外国文学;文学理论;英国;詹姆斯·伍德;人类学
9787220103414,肉桂色铺子及其他故事,[波兰]布鲁诺·舒尔茨,186,29.80元,2017-11,布鲁诺•舒尔茨;外国文学;小说;布鲁诺·舒尔茨;文学;波兰;讲故事;后浪
9787559604781,秀才的手表,袁哲生,272,42.00元,2017-9,袁哲生;小说;台湾;港台文学;文学;台湾文学;后浪;中国文学
9787220101823,迷楼,刘以鬯,332,CNY45.00,2017-9-1,刘以鬯;香港文學;小说;文学;香港;香港文学;短篇小说集;后浪
9787208142923,指匠,[英]萨拉·沃特斯,584,65,2017-9,英国文学;女性;小说;外国文学;萨拉·沃特斯;爱情;英国;经典
9787535681201,壹玖壹壹,[美]刘香成编著,408,320.00元,2017-9,摄影;历史;辛亥革命;后浪;刘香成;画册;照片;中国历史
9787550236332,长长的小百科：大世界，小世界,[法]提埃里·拉瓦尔,56,68.00元,2015-5,童书;绘本;科普;后浪;百科;儿童教育;浪花朵朵;浪花朵朵童书会
9787534174766,全新X战警7：乌托邦人,[美]布莱恩•迈克尔•本迪斯（著）/[奥]穆罕默德·阿斯拉尔等（绘）,114,50.00元,2017-3,Marvel;美漫;漫画;果壳;布莱恩·迈克尔·本迪斯;Marvel（果壳）
9787534174742,全新X战警5：一人倒下,[美]布莱恩•迈克尔•本迪斯（著）/[加]斯图尔特•伊莫宁等（绘）,148,50.00元,2017-3,Marvel;美漫;果壳;布莱恩·迈克尔·本迪斯;漫画;Marvel（果壳）
9787541073182,银河护卫队2——安吉拉,[美]布莱恩·迈克尔·本迪斯（著）/[意大利]萨拉·皮凯利等（绘）,168,55.00元,2017-5,漫画;美漫;果壳;Marvel（果壳）;Marvel;布莱恩·迈克尔·本迪斯;银河护卫队;漫威
9787550261594,大城市,[美]麦克唐纳德,60,39.80元,2016-5,绘本;涂色;秘密花园涂绘学院;后浪;建筑;艺术;图画书;***后浪***
9787534174759,全新X战警6：终极冒险,[美]布莱恩•迈克尔•本迪斯（著）/[奥]穆罕默德·阿斯拉尔等（绘）,133,50.00元,2017-3,Marvel;美漫;漫画;果壳;布莱恩·迈克尔·本迪斯;好书，值得一读;Marvel（果壳）
9787550266650,章鱼小香肠双胞胎,[日]林木林文/西村敏雄图,32,38.00元,2016-3,绘本;童书;日本;后浪;儿童教育;育儿;宝贝;图画书
9787550251281,阿兰的战争,[法]埃曼努埃尔·吉贝尔,336,128.00元（全三册）,2015-8,漫画;二战;历史;法国;法国文学;绘本;文学;阿甘版”二战题材的“我在伊朗长大”
9787210097464,纵然明日离世，不碍今日浇花,[日]樋野兴夫,192,36.00元,2017-11,生与死;后浪;修身;临终关怀;人生;樋野兴夫;日本;***后浪***
9787535681133,永山裕子的水彩课,[日]永山裕子,112,60.00元,2017-10,水彩;绘画;永山裕子;画画;向大师学绘画;艺术;美术;素描
9787564927318,不负责任的自我,[英]詹姆斯·伍德,344,45.00,2017-6-1,詹姆斯·伍德;文学评论;文学理论;外国文学;文学;文学研究;小说研究;英国
9787550272767,脱力的彼尔德,郑插插,288,49.80元（全3册）,2016-5-16,彼尔德;漫画;绘本;后浪;郑插插;彼尔德Billd;好书，值得一读;中国
9787100111973,当代外国文学纪事（1980-2000）·法国卷,沈大力/车琳,927,165.00,2015-6-18,法国文学;*北京·商务印书馆*;@@Librairies@Internet;@@@Bibliothèque@zjlib;待购;C车琳;*******i565.2*******;*******i565*******
9787514218756,野外鸣虫图鉴,[日]濑长刚,184,138.00元,2018-2,科普;昆虫;博物学;后浪;童书;图鉴;博物;***后浪***
9787550291027,这就是塞尚,[英]约瑞拉·安德鲁斯著/帕特里克·韦尔插图,80,60.00元,2017-6,艺术;塞尚;后浪;传记;艺术家;艺术史;这就是;“这就是……”系列
9787020084920,动物寓言集,[阿根廷]胡利奥·科塔萨尔,118,16.00元,2011-4,胡里奥·科塔萨尔;拉美文学;小说;阿根廷;短篇小说;外国文学;拉美;科塔萨尔
9787108051516,亚洲概念史研究,孙江/陈立卫,290,52.00元,2014-12,思想史;概念史;历史;孙江;文化研究;2014;社会学;历史学
9787213080265,死后的世界,[美]雷蒙德·穆迪/RaymondA.Moody,152,36.00元,2017-7,死亡;生命科学;心理学;哲学;濒死体验;死后的世界;后浪;2017
9787550289253,长长的小百科：大城市，小城市,[法]提埃里·拉瓦尔/扬·库文,48,68.00元,2016-11,绘本;科普;浪花朵朵;童书;后浪;长长的小百科;认知;视觉发现
9787213083419,夏志清夏济安书信集,王洞主编/季进编,616,130.00元,2017-10,书信;中国文学;夏志清;文学史;夏济安;后浪;文学;***后浪***
9787550258860,解忧禅绕画,[美]苏珊娜·麦克尼尔（SuzanneMcNeill）/辛迪·谢帕德（CindyShepard）,184,68.00元,2016-3,禅绕画;画画;艺术;绘画;艺术>绘画>技法教程;缠绕画;绘本;禅绕
9787550256415,后望书（最终修订版）,朱幼棣,408,49.80元,2016-9,朱幼棣;纪实;文化;后浪;随笔;***后浪***;中国;2016
9787550273252,德国幼儿认知训练书.4岁,德国泰斯洛夫出版社（Tesslofverlag）编著/[德]多利特·古德（DoritGudd）图,120,28.00元,2016-6,童书;德国教育;儿童教育;教育;后浪;德国;***后浪***;育儿
9787550250932,镜头在说话（插图修订版）,梁明/李力,288,60.00元,2017-8,电影;电影学院;摄影;导演;***后浪***;后浪;纪录片;的
9787550282667,布鲁诺·巴贝在路上,[法]布鲁诺·巴贝(摄影)/[法]卡洛尔·纳伽,384,350.00元,2016-10,摄影;纪实摄影;布鲁诺·巴贝;画册;玛格南;艺术;法国;后浪
9787559602633,永山裕子的水彩课,[日]永山裕子,96,49.80元,2017-7,水彩;绘画;画画;永山裕子;向大师学绘画;艺术;日本;永山
9787550258143,幻兽之国,[菲]克尔比·罗萨内斯/KerbyRosanes,96,45.00元,2015-8,涂色;绘本;秘密花园;后浪;涂绘;外国文学;***后浪***;心理自助
9787550277519,纸戏剧（木制舞台套装）,[日]和歌山静子/松井纪子等,128,1480.00元,2016-8,童书;纸戏剧;后浪;育儿;浪花朵朵;好玩;可爱;表演
9787532953615,职业的和业余的小说家,张定浩,316,42.00元,2017-4,張定浩;文学批评;写作;张定浩;當代;批評;小說;2017
9787550278240,柴犬莉莉,[日]土师俊资,80,49.80元,2016-8,动物;绘本;温情;柴犬;后浪;儿童文学;浪花朵朵;日本
9787554007402,琅嬛文集,【明】張岱著/路偉馬濤點校,428,58元,2016-2,张岱;中國文學;诗歌;枕绿;明清史;古文;2016;*杭州·浙江古籍出版社*
9787509745731,时间的社会文化史,湛晓白,424,79.00元,2013-6,社会史;时间;近代史;历史;文化史;湛晓白;中国近现代史;历史社会学
9787201108704,这就是马蒂斯,[英]凯瑟琳·英格拉姆著/[法]阿涅丝·德库尔谢勒插图,80,60.00元,2017-6,马蒂斯;艺术;绘画;后浪;西方绘画;艺术史书单;***后浪***;Matisse
9787101076141,稗家粹編,[明]胡文煥編,532,39.00元,2010-11,小说;古籍;古典文学;笔记小说;【明】胡文焕;鬼;舊小說;古典小说
9787534046858,隨園食單補證,袁枚原撰/夏曾傳補證,439,CNY62.00,2016-1,艺文丛刊;美食;袁枚;工具书;古典文学;古典;*杭州·浙江人民美术出版社*;浙江人美
9787533462529,欲望书写,[法]多米尼克·曼戈诺,181,28.00元,2013-11,文学研究;色情文学;文学史、文学批评及理论;文学;法国文学;文学理论;性学;文论
